Risk_ID,Risk_Title,Risk_Statement,Category,Likelihood_1_5,Impact_1_5,Inherent_Rating,Priority,Existing_Control_Evidence,Proposed_Controls,Remediation,Owner,Status,Residual_Rating_Target
R-01,Customer data entered in prompts,An agent may enter personal or sensitive customer data into a prompt without approved handling rules,Privacy,4,5,20,Critical,No evidenced data classification or input guardrails,Data classification; prompt warning; sensitive-data detection; approved handling standard,Define allowed data classes and block or route disallowed inputs before pilot,Privacy Officer,Open,8
R-02,Confident inaccurate draft,A plausible but incorrect response could be approved and sent to a customer,Reliability,4,4,16,Critical,Human review is assumed but review criteria are not evidenced,Grounded retrieval; citations to source article; confidence threshold; review checklist,Build evaluation set and require source-linked drafts plus human approval,Support Operations Lead,Open,8
R-03,Prompt injection from retrieved content,Malicious or compromised knowledge-base content could alter system instructions or mislead the agent,Security,3,5,15,Critical,No evidenced retrieval isolation or content-review process,Instruction hierarchy; retrieval sanitization; content approval workflow; adversarial tests,Define retrieval trust boundary and test injection scenarios before pilot,Security Lead,Open,6
R-04,Unauthorized knowledge-base access,The assistant could retrieve articles beyond an agent's authorized role,Security,3,5,15,Critical,No evidenced role-based retrieval authorization,Identity-aware retrieval; least privilege; access logging; periodic access review,Implement and test role-based retrieval filtering,Identity and Access Lead,Open,6
R-05,Unsupported policy or refund guidance,An outdated article could cause the assistant to draft incorrect policy guidance,Operational,4,4,16,Critical,No evidenced article owner revision cycle or freshness signal,Content ownership; review dates; freshness metadata; escalation for stale content,Assign article owners and remove or flag expired sources,Knowledge Management Lead,Open,8
R-06,Bias in tone or escalation,Draft language or routing could treat customer groups inconsistently,Fairness,3,4,12,High,No evidenced fairness test cases or review cadence,Diverse test set; rubric-based review; escalation audit,Create representative test scenarios and review disparate outcomes,Customer Experience Lead,Open,6
R-07,Insufficient user transparency,Agents may not understand limitations or when to override the draft,Transparency,3,3,9,Moderate,No evidenced user notice or training,In-product notice; limitation guidance; training; escalation path,Document intended use prohibited use and override instructions,Support Operations Lead,Open,4
R-08,Inadequate event logging and retention,Investigation may be impaired if prompts outputs source references and approvals are not logged appropriately,Accountability,3,4,12,High,No evidenced logging schema retention period or access model,Minimum audit schema; retention standard; access controls; review workflow,Define logging fields retention and authorized readers,Security Lead,Open,6
R-09,Model or retrieval change regression,A vendor model update or knowledge-base change could degrade quality without detection,Change Management,4,4,16,Critical,No evidenced release gate or benchmark,Version inventory; approval gate; regression tests; rollback plan,Create pre-release benchmark and change approval process,AI Product Owner,Open,8
R-10,No AI incident response path,Teams may lack a defined response when harmful drafts or data-handling failures occur,Resilience,3,5,15,Critical,No evidenced AI incident classification or playbook,AI incident playbook; kill switch; triage owner; post-incident review,Publish tabletop-tested response procedure before pilot,Security Lead,Open,6
